date,y
7/1/2017,1160.762
7/2/2017,1074.715
7/3/2017,1368.537
7/4/2017,1393.457
7/5/2017,1396.984
7/6/2017,1408.679
7/7/2017,1395.258
7/8/2017,1173.655
7/9/2017,1066.22
7/10/2017,1387.963
7/11/2017,1394.364
7/12/2017,1412.276
7/13/2017,1374.525
7/14/2017,1343.568
7/15/2017,1124.203
7/16/2017,1046.128
7/17/2017,1350.745
7/18/2017,1380.639
7/19/2017,1411.458
7/20/2017,1401.05
7/21/2017,1355.297
7/22/2017,1151.213
7/23/2017,1048.236
7/24/2017,1336.969
7/25/2017,1373.256
7/26/2017,1365.235
7/27/2017,1356.974
7/28/2017,1328.12
7/29/2017,1132.547
7/30/2017,1061.415
7/31/2017,1333.13
8/1/2017,1364.819
8/2/2017,1365.735
8/3/2017,1389.445
8/4/2017,1349.423
8/5/2017,1130.134
8/6/2017,1024.324
8/7/2017,1302.062
8/8/2017,1343.899
8/9/2017,1342.432
8/10/2017,1351.491
8/11/2017,1329.039
8/12/2017,1121.458
8/13/2017,1025.07
8/14/2017,1305.341
8/15/2017,1333.398
8/16/2017,1364.029
8/17/2017,1377.745
8/18/2017,1362.48
8/19/2017,1130.982
8/20/2017,1042.809
8/21/2017,1347.212
8/22/2017,1363.146
8/23/2017,1365.414
8/24/2017,1381.885
8/25/2017,1363.835
8/26/2017,1155.017
8/27/2017,1066.659
8/28/2017,1369.098
8/29/2017,1409.367
8/30/2017,1434.052
8/31/2017,1417.97368
9/1/2017,1361.78735
9/2/2017,1135.72984
9/3/2017,1057.50932
9/4/2017,1359.36636
9/5/2017,1391.71549
9/6/2017,1421.76263
9/7/2017,1406.76505
9/8/2017,1407.68179
9/9/2017,1187.91825
9/10/2017,1092.1046
9/11/2017,1411.22858
9/12/2017,1428.50639
9/13/2017,1460.61621
9/14/2017,1456.47487
9/15/2017,1409.7847
9/16/2017,1181.50447
9/17/2017,1095.32021
9/18/2017,1403.63214
9/19/2017,1429.80947
9/20/2017,1442.87787
9/21/2017,1421.64603
9/22/2017,1401.40633
9/23/2017,1191.10345
9/24/2017,1115.07288
9/25/2017,1419.59171
9/26/2017,1445.40606
9/27/2017,1451.00792
9/28/2017,1446.44828
9/29/2017,1427.92132
9/30/2017,1216.86135
10/1/2017,1106.68587
10/2/2017,1327.67473
10/3/2017,1176.7697
10/4/2017,1458.9855
10/5/2017,1480.53577
10/6/2017,1463.70211
10/7/2017,1248.2794
10/8/2017,1150.3125
10/9/2017,1458.46922
10/10/2017,1489.54663
10/11/2017,1490.02758
10/12/2017,1492.93612
10/13/2017,1463.11905
10/14/2017,1234.93129
10/15/2017,1119.08821
10/16/2017,1438.02368
10/17/2017,1464.32599
10/18/2017,1460.71347
10/19/2017,1466.94208
10/20/2017,1469.67145
10/21/2017,1246.57986
10/22/2017,1164.39959
10/23/2017,1483.51188
10/24/2017,1508.51484
10/25/2017,1506.14869
10/26/2017,1493.68102
10/27/2017,1480.50323
10/28/2017,1284.26158
10/29/2017,1176.91823
10/30/2017,1345.87389
10/31/2017,1204.08577
11/1/2017,1309.18478
11/2/2017,1474.19484
11/3/2017,1471.18241
11/4/2017,1284.77485
11/5/2017,1193.85495
11/6/2017,1505.67173
11/7/2017,1545.63945
11/8/2017,1547.48171
11/9/2017,1557.63091
11/10/2017,1560.41732
11/11/2017,1346.43916
11/12/2017,1241.51495
11/13/2017,1538.83561
11/14/2017,1577.45348
11/15/2017,1562.03367
11/16/2017,1574.73479
11/17/2017,1552.2178
11/18/2017,1369.91888
11/19/2017,1268.00462
11/20/2017,1565.56805
11/21/2017,1576.49592
11/22/2017,1558.72998
11/23/2017,1581.7877
11/24/2017,1528.12694
11/25/2017,1333.15585
11/26/2017,1276.09818
11/27/2017,1602.17797
11/28/2017,1615.38061
11/29/2017,1603.98435
11/30/2017,1617.03309
12/1/2017,1592.96187
12/2/2017,1391.85405
12/3/2017,1330.26226
12/4/2017,1620.97758
12/5/2017,1643.72307
12/6/2017,1639.08265
12/7/2017,1628.47979
12/8/2017,1618.05658
12/9/2017,1415.34531
12/10/2017,1318.10964
12/11/2017,1614.15862
12/12/2017,1647.36346
12/13/2017,1651.90418
12/14/2017,1636.54375
12/15/2017,1576.93197
12/16/2017,1382.87708
12/17/2017,1297.21916
12/18/2017,1578.69079
12/19/2017,1586.4823
12/20/2017,1559.68569
12/21/2017,1520.37206
12/22/2017,1423.23782
12/23/2017,1272.17085
12/24/2017,1141.7573
12/25/2017,1111.28338
12/26/2017,1130.11683
12/27/2017,1263.94091
12/28/2017,1299.86398
12/29/2017,1295.08753
12/30/2017,1215.44897
12/31/2017,1107.11488
