Year,Month,Day,Hour,Week,Consumption
2022,1,14,13,2,11633.864
2022,1,14,14,2,11568.279
2022,1,14,15,2,11462.122
2022,1,14,16,2,11531.938
2022,1,14,17,2,11821.069
2022,1,14,18,2,11914.71
2022,1,14,19,2,11887.7
2022,1,14,20,2,11862.613
2022,1,14,21,2,11536.751
2022,1,14,22,2,10954.977
2022,1,14,23,2,10986.796
2022,1,14,24,2,10706.179
2022,1,15,1,2,10292.452
2022,1,15,2,2,9903.078
2022,1,15,3,2,9694.642
2022,1,15,4,2,9628.458
2022,1,15,5,2,9604.959
2022,1,15,6,2,9747.431
2022,1,15,7,2,10065.725
2022,1,15,8,2,10209.265
2022,1,15,9,2,10548.247
2022,1,15,10,2,10622.194
2022,1,15,11,2,10765.507
2022,1,15,12,2,10824.412
2022,1,15,13,2,10821.118
2022,1,15,14,2,10727.658
2022,1,15,15,2,10706.292
2022,1,15,16,2,10845.85
2022,1,15,17,2,11287.697
2022,1,15,18,2,11618.007
2022,1,15,19,2,11768.658
2022,1,15,20,2,11676.251
2022,1,15,21,2,11327.742
2022,1,15,22,2,10873.521
2022,1,15,23,2,10933.726
2022,1,15,24,2,10799.602
2022,1,16,1,2,10460.921
2022,1,16,2,2,10149.636
2022,1,16,3,2,9932.811
2022,1,16,4,2,9796.026
2022,1,16,5,2,9731.754
2022,1,16,6,2,9792.484
2022,1,16,7,2,9953.433
2022,1,16,8,2,10040.905
2022,1,16,9,2,10334.235
2022,1,16,10,2,10421.598
2022,1,16,11,2,10548.711
2022,1,16,12,2,10701.104
2022,1,16,13,2,10703.421
2022,1,16,14,2,10671.555
2022,1,16,15,2,10608.475
2022,1,16,16,2,10681.262
2022,1,16,17,2,10935.269
2022,1,16,18,2,11031.608
2022,1,16,19,2,11151.399
2022,1,16,20,2,11065.502
2022,1,16,21,2,10843.679
2022,1,16,22,2,10387.093
2022,1,16,23,2,10632.699
2022,1,16,24,2,10524.359
2022,1,17,1,3,10175.061
2022,1,17,2,3,9846.405
2022,1,17,3,3,9694.851
2022,1,17,4,3,9668.519
2022,1,17,5,3,9773.353
2022,1,17,6,3,10113.282
2022,1,17,7,3,10905.936
2022,1,17,8,3,11485.533
2022,1,17,9,3,11854.762
2022,1,17,10,3,11812.789
2022,1,17,11,3,11721.647
2022,1,17,12,3,11770.157
2022,1,17,13,3,11760.026
2022,1,17,14,3,11644.683
2022,1,17,15,3,11640.494
2022,1,17,16,3,11693.93
2022,1,17,17,3,11890.536
2022,1,17,18,3,12065.875
2022,1,17,19,3,12073.058
2022,1,17,20,3,12038.223
2022,1,17,21,3,11834.281
2022,1,17,22,3,11385.601
2022,1,17,23,3,11424.645
2022,1,17,24,3,11295.275
2022,1,18,1,3,10886.543
2022,1,18,2,3,10514.514
2022,1,18,3,3,10341.528
2022,1,18,4,3,10339.219
2022,1,18,5,3,10457.688
2022,1,18,6,3,10833.495
2022,1,18,7,3,11638.116
2022,1,18,8,3,12168.594
2022,1,18,9,3,12454.968
2022,1,18,10,3,12276.121
2022,1,18,11,3,12228.16
2022,1,18,12,3,12342.768
2022,1,18,13,3,12318.232
2022,1,18,14,3,12204.687
2022,1,18,15,3,12058.237
2022,1,18,16,3,12070.728
2022,1,18,17,3,12233.805
2022,1,18,18,3,12251.78
2022,1,18,19,3,12157.447
2022,1,18,20,3,12123.863
2022,1,18,21,3,11805.324
2022,1,18,22,3,11300.181
2022,1,18,23,3,11314.976
2022,1,18,24,3,11039.028
2022,1,19,1,3,10570.436
2022,1,19,2,3,10250.542
2022,1,19,3,3,10131.837
2022,1,19,4,3,10052.504
2022,1,19,5,3,10124.576
2022,1,19,6,3,10385.423
2022,1,19,7,3,11168.417
2022,1,19,8,3,11607.275
2022,1,19,9,3,11827.105
2022,1,19,10,3,11700.779
2022,1,19,11,3,11582.611
2022,1,19,12,3,11576.354
2022,1,19,13,3,11542.355
2022,1,19,14,3,11412.36
2022,1,19,15,3,11302.363
2022,1,19,16,3,11325.984
2022,1,19,17,3,11519.917
2022,1,19,18,3,11582.667
2022,1,19,19,3,11554.65
2022,1,19,20,3,11518.855
2022,1,19,21,3,11223.7
2022,1,19,22,3,10683.571
2022,1,19,23,3,10738.368
2022,1,19,24,3,10513.396
2022,1,20,1,3,10076.063
2022,1,20,2,3,9779.462
2022,1,20,3,3,9649.389
2022,1,20,4,3,9611.742
2022,1,20,5,3,9754.074
2022,1,20,6,3,10115.967
2022,1,20,7,3,10856.709
2022,1,20,8,3,11442.18
2022,1,20,9,3,11763.764
2022,1,20,10,3,11654.197
2022,1,20,11,3,11643.819
2022,1,20,12,3,11630.31
2022,1,20,13,3,11636.389
2022,1,20,14,3,11550.897
2022,1,20,15,3,11496.197
2022,1,20,16,3,11551.27
2022,1,20,17,3,11800.936
2022,1,20,18,3,11896.678
2022,1,20,19,3,11909.863
2022,1,20,20,3,11935.311
2022,1,20,21,3,11755.469
2022,1,20,22,3,11309.324
2022,1,20,23,3,11385.968
2022,1,20,24,3,11177.021
2022,1,21,1,3,10801.623
2022,1,21,2,3,10422.383
2022,1,21,3,3,10216.511
2022,1,21,4,3,10157.407
2022,1,21,5,3,10247.51
2022,1,21,6,3,10595.849
2022,1,21,7,3,11409.891
2022,1,21,8,3,11898.498
2022,1,21,9,3,12139.33
2022,1,21,10,3,12033.363
2022,1,21,11,3,11962.238
2022,1,21,12,3,11974.445
2022,1,21,13,3,12025.226
2022,1,21,14,3,11870.479
2022,1,21,15,3,11838.732
2022,1,21,16,3,11767.048
2022,1,21,17,3,12089.287
2022,1,21,18,3,12264.878
2022,1,21,19,3,12282.591
2022,1,21,20,3,12295.743
2022,1,21,21,3,11952.375
2022,1,21,22,3,11409.158
2022,1,21,23,3,11488.422
2022,1,21,24,3,11244.769
2022,1,22,1,3,10813.541
2022,1,22,2,3,10476.47
2022,1,22,3,3,10322.3
2022,1,22,4,3,10194.952
2022,1,22,5,3,10245.977
2022,1,22,6,3,10404.308
2022,1,22,7,3,10716.86
2022,1,22,8,3,10899.178
2022,1,22,9,3,11148.888
2022,1,22,10,3,11230.369
2022,1,22,11,3,11438.112
2022,1,22,12,3,11517.28
2022,1,22,13,3,11531.512
2022,1,22,14,3,11416.7
2022,1,22,15,3,11407.595
2022,1,22,16,3,11498.555
2022,1,22,17,3,11903.075
2022,1,22,18,3,12323.653
2022,1,22,19,3,12469.179
2022,1,22,20,3,12396.885
2022,1,22,21,3,12000.881
2022,1,22,22,3,11441.711
2022,1,22,23,3,11560.018
2022,1,22,24,3,11394.486
2022,1,23,1,3,10956.108
2022,1,23,2,3,10630.308
2022,1,23,3,3,10485.947
2022,1,23,4,3,10336.934
2022,1,23,5,3,10263.997
2022,1,23,6,3,10305.491
2022,1,23,7,3,10416.076
2022,1,23,8,3,10427.763
2022,1,23,9,3,10676.327
2022,1,23,10,3,10713.337
2022,1,23,11,3,10872.143
2022,1,23,12,3,10923.604
2022,1,23,13,3,10914.561
2022,1,23,14,3,10843.032
2022,1,23,15,3,10831.557
2022,1,23,16,3,10827.888
2022,1,23,17,3,11071.507
2022,1,23,18,3,11316.952
2022,1,23,19,3,11331.881
2022,1,23,20,3,11270.532
2022,1,23,21,3,10983.204
2022,1,23,22,3,10604.656
2022,1,23,23,3,10789.855
2022,1,23,24,3,10682.385
2022,1,24,1,4,10242.985
2022,1,24,2,4,9905.005
2022,1,24,3,4,9737.248
2022,1,24,4,4,9685.949
2022,1,24,5,4,9797.501
2022,1,24,6,4,10177.007
2022,1,24,7,4,10984.739
2022,1,24,8,4,11468.131
2022,1,24,9,4,11766.463
2022,1,24,10,4,11645.68
2022,1,24,11,4,11636.104
2022,1,24,12,4,11631.033
2022,1,24,13,4,11605.819
2022,1,24,14,4,11465.288
2022,1,24,15,4,11401.225
2022,1,24,16,4,11324.855
2022,1,24,17,4,11355.17
2022,1,24,18,4,11458.222
2022,1,24,19,4,11417.714
2022,1,24,20,4,11383.965
2022,1,24,21,4,11155.134
2022,1,24,22,4,10759.26
2022,1,24,23,4,10929.574
2022,1,24,24,4,10706.998
2022,1,25,1,4,10274.744
2022,1,25,2,4,9949.527
2022,1,25,3,4,9812.297
2022,1,25,4,4,9759.09
2022,1,25,5,4,9913.917
2022,1,25,6,4,10312.214
2022,1,25,7,4,11042.723
2022,1,25,8,4,11591.816
2022,1,25,9,4,11745.313
2022,1,25,10,4,11672.807
2022,1,25,11,4,11667.971
2022,1,25,12,4,11691.1
2022,1,25,13,4,11568.551
2022,1,25,14,4,11407.038
2022,1,25,15,4,11380.647
2022,1,25,16,4,11433.266
2022,1,25,17,4,11639.496
2022,1,25,18,4,11989.816
2022,1,25,19,4,12044.597
2022,1,25,20,4,12073.93
2022,1,25,21,4,11909.931
2022,1,25,22,4,11419.269
2022,1,25,23,4,11505.579
2022,1,25,24,4,11291.927
2022,1,26,1,4,10813.336
2022,1,26,2,4,10642.028
2022,1,26,3,4,10533.051
2022,1,26,4,4,10435.824
2022,1,26,5,4,10525.643
2022,1,26,6,4,10841.897
2022,1,26,7,4,11597.146
2022,1,26,8,4,12092.555
2022,1,26,9,4,12221.796
2022,1,26,10,4,12067.145
2022,1,26,11,4,11984.129
2022,1,26,12,4,12006.06
2022,1,26,13,4,11957.719
2022,1,26,14,4,11881.752
2022,1,26,15,4,11855.398
2022,1,26,16,4,11766.695
2022,1,26,17,4,11932.06
2022,1,26,18,4,12059.134
2022,1,26,19,4,12004.427
2022,1,26,20,4,11996.286
2022,1,26,21,4,11719.411
2022,1,26,22,4,11150.22
2022,1,26,23,4,11241.761
2022,1,26,24,4,10948.084
2022,1,27,1,4,10471.014
2022,1,27,2,4,10138.612
2022,1,27,3,4,9933.53
2022,1,27,4,4,9844.787
2022,1,27,5,4,9965.818
2022,1,27,6,4,10256.738
2022,1,27,7,4,10942.698
2022,1,27,8,4,11363.473
2022,1,27,9,4,11483.379
2022,1,27,10,4,11318.472
2022,1,27,11,4,11305.122
2022,1,27,12,4,11379.045
2022,1,27,13,4,11359.518
2022,1,27,14,4,11250.112
2022,1,27,15,4,11207.808
2022,1,27,16,4,11162.423
2022,1,27,17,4,11374.512
2022,1,27,18,4,11605.83
2022,1,27,19,4,11599.531
2022,1,27,20,4,11583.443
2022,1,27,21,4,11327.895
2022,1,27,22,4,10881.703
2022,1,27,23,4,10930.921
2022,1,27,24,4,10742.956
2022,1,28,1,4,10359.515
2022,1,28,2,4,10011.817
2022,1,28,3,4,9818.137
2022,1,28,4,4,9704.037
2022,1,28,5,4,9818.71
2022,1,28,6,4,10166.446
2022,1,28,7,4,10973.285
2022,1,28,8,4,11472.216
2022,1,28,9,4,11665.866
2022,1,28,10,4,11658.312
2022,1,28,11,4,11669.287
2022,1,28,12,4,11720.386
2022,1,28,13,4,11709.719
2022,1,28,14,4,11621.827
2022,1,28,15,4,11539.331
2022,1,28,16,4,11504.608
2022,1,28,17,4,11695.136
2022,1,28,18,4,12065.18
2022,1,28,19,4,12084.238
2022,1,28,20,4,12030.282
2022,1,28,21,4,11736.969
2022,1,28,22,4,11247.888
2022,1,28,23,4,11252.88
2022,1,28,24,4,11080.587
2022,1,29,1,4,10737.726
2022,1,29,2,4,10455.519
2022,1,29,3,4,10289.711
2022,1,29,4,4,10206.491
2022,1,29,5,4,10252.963
2022,1,29,6,4,10360.093
2022,1,29,7,4,10637.94
2022,1,29,8,4,10783.237
2022,1,29,9,4,10942.149
2022,1,29,10,4,11014.184
2022,1,29,11,4,11167.989
2022,1,29,12,4,11224.099
2022,1,29,13,4,11258.13
2022,1,29,14,4,11208.491
2022,1,29,15,4,11195.946
2022,1,29,16,4,11270.416
2022,1,29,17,4,11491.641
2022,1,29,18,4,11841.788
2022,1,29,19,4,11965.588
2022,1,29,20,4,11873.391
2022,1,29,21,4,11464.384
2022,1,29,22,4,10935.776
2022,1,29,23,4,11026.181
2022,1,29,24,4,10826.628
2022,1,30,1,4,10355.651
2022,1,30,2,4,10076.462
2022,1,30,3,4,9874.963
2022,1,30,4,4,9703.638
2022,1,30,5,4,9733.841
2022,1,30,6,4,9807.108
2022,1,30,7,4,10038.529
2022,1,30,8,4,10164.122
2022,1,30,9,4,10338.183
2022,1,30,10,4,10389.683
2022,1,30,11,4,10636.508
2022,1,30,12,4,10840.84
2022,1,30,13,4,10924.221
2022,1,30,14,4,10960.025
2022,1,30,15,4,10953.949
2022,1,30,16,4,10949.008
2022,1,30,17,4,11168.355
2022,1,30,18,4,11590.804
2022,1,30,19,4,11667.976
2022,1,30,20,4,11683.531
2022,1,30,21,4,11434.147
2022,1,30,22,4,10981.067
2022,1,30,23,4,11190.757
2022,1,30,24,4,11066.409
2022,1,31,1,5,10792.545
2022,1,31,2,5,10532.876
2022,1,31,3,5,10346.797
2022,1,31,4,5,10278.985
2022,1,31,5,5,10437.462
2022,1,31,6,5,10809.937
2022,1,31,7,5,11595.877
2022,1,31,8,5,12170.507
2022,1,31,9,5,12346.201
2022,1,31,10,5,12287.759
2022,1,31,11,5,12325.755
2022,1,31,12,5,12349.563
2022,1,31,13,5,12287.128
2022,1,31,14,5,12207.563
2022,1,31,15,5,12108.497
2022,1,31,16,5,12029.15
2022,1,31,17,5,12077.661
2022,1,31,18,5,12448.102
2022,1,31,19,5,12463.941
2022,1,31,20,5,12458.213
2022,1,31,21,5,12267.203
2022,1,31,22,5,11857.791
2022,1,31,23,5,11980.42
2022,1,31,24,5,11754.237
2022,2,1,1,5,11330.984
2022,2,1,2,5,11022.735
2022,2,1,3,5,10848.447
2022,2,1,4,5,10822.962
2022,2,1,5,5,10956.787
2022,2,1,6,5,11354.368
2022,2,1,7,5,12130.343
2022,2,1,8,5,12618.719
2022,2,1,9,5,12731.201
2022,2,1,10,5,12718.345
2022,2,1,11,5,12770.606
2022,2,1,12,5,12769.676
2022,2,1,13,5,12661.259
2022,2,1,14,5,12573.017
2022,2,1,15,5,12456.734
2022,2,1,16,5,12391.002
2022,2,1,17,5,12445.128
2022,2,1,18,5,12793.332
2022,2,1,19,5,12860.074
2022,2,1,20,5,12823.715
2022,2,1,21,5,12589.166
2022,2,1,22,5,12088.41
2022,2,1,23,5,12143.169
2022,2,1,24,5,11901.261
2022,2,2,1,5,11427.338
2022,2,2,2,5,11176.181
2022,2,2,3,5,10985.483
2022,2,2,4,5,10904.653
2022,2,2,5,5,11001.72
2022,2,2,6,5,11345.4
2022,2,2,7,5,12114.478
2022,2,2,8,5,12557.555
2022,2,2,9,5,12689.852
2022,2,2,10,5,12638.162
2022,2,2,11,5,12594.383
2022,2,2,12,5,12572.214
2022,2,2,13,5,12546.621
2022,2,2,14,5,12389.407
2022,2,2,15,5,12326.095
2022,2,2,16,5,12249.459
2022,2,2,17,5,12322.727
2022,2,2,18,5,12788.679
2022,2,2,19,5,12835.01
2022,2,2,20,5,12850.344
2022,2,2,21,5,12613.408
2022,2,2,22,5,12079.267
2022,2,2,23,5,12176.022
2022,2,2,24,5,11958.58
2022,2,3,1,5,11575.523
2022,2,3,2,5,11283.587
2022,2,3,3,5,11147.784
2022,2,3,4,5,11094.729
2022,2,3,5,5,11205.047
2022,2,3,6,5,11622.317
2022,2,3,7,5,12483.191
2022,2,3,8,5,12991.682
2022,2,3,9,5,13101.331
2022,2,3,10,5,13097.732
2022,2,3,11,5,13057.776
2022,2,3,12,5,13111.121
2022,2,3,13,5,12971.49
2022,2,3,14,5,12821.247
2022,2,3,15,5,12714.602
2022,2,3,16,5,12619.158
2022,2,3,17,5,12682.497
2022,2,3,18,5,13145.588
